blk_ID,sequence,anomaly
blk_-2032740670708110312,[11],0
blk_-2035996502664501008,[0],0
blk_-2051219911597308805,[2],0
blk_-2068111211565768713,[12],0
blk_-2073265102548439691,[1],0
blk_-207775976836691685,[3],0
blk_-2082401934988378573,[13],0
blk_-2094397855762091248,[13],0
blk_-2098161025946048013,[10],0
blk_-210021574616486609,[3],0
blk_-2117066166574895060,[13],0
blk_-2125743956855238111,[0],0
blk_-2129171714384027465,[13],0
blk_-2141627858612526069,[13],0
blk_-2144263949276079479,[0],0
blk_-2151458111813215098,[13],0
blk_-2192382893903170466,[15],0
blk_-2194976790278647102,[13],0
blk_-2210703755506918304,[10],0
blk_-2225353020301959077,[4],0
blk_-2230892279625104430,[1],0
blk_-2242088550278361724,[13],0
blk_-2243784245784480521,[13],0
blk_-2250942073136893488,[15],0
blk_-2268450354164990110,[12],0
blk_-2268477281422551537,[12],0
blk_-227411387418683230,[13],0
blk_-2281067667503210140,[0],0
blk_-2285729896739318683,[16],0
blk_-2313277713021896570,[15],0
blk_-2321016155994168744,[0],0
blk_-2332150303475653460,[0],0
blk_-2345355483730155757,[0],0
blk_-23492739449820023,[0],0
blk_-2402036602753320612,[0],0
blk_-2421414377433740760,[12],0
blk_-2425070029518924403,[10],0
blk_-2439225174716664723,[4],0
blk_-2445347158368483245,[10],0
blk_-2451769929123196359,[4],0
blk_-2452477352812192142,[13],0
blk_-2466006073687914843,[12],0
blk_-2480595760294717232,[0],0
blk_-2492400942012223395,[4],0
blk_-2506231977021079951,[15],0
blk_-2518425063392446785,[10],0
blk_-2530087534157630851,[0],0
blk_-253282915050290778,[10],0
blk_-2541428592126088938,[2],0
blk_-2557432794238860908,[16],0
blk_-2583370070230800221,[15],0
blk_-2589662411410634043,[4],0
blk_-2591043665372016488,[12],0
blk_-2600305892036631113,[0],0
blk_-2654726224018724510,[0],0
blk_-265588615173040885,[13],0
blk_-2656323385657954732,[16],0
blk_-26568864070436835,[12],0
blk_-2658615574293326723,[10],0
blk_-2667669005094349452,[15],0
blk_-2680500627064966252,[12],0
blk_-2722768686407017386,[10],0
blk_-272707591443354058,[11],0
blk_-2746863406163228797,[15],1
blk_-2780312306380730204,[12],0
blk_-2794533871450434534,[16],0
blk_-2808875502459981198,[10],0
blk_-2826763604408365998,[10],0
blk_-2827716238972737794,[18],0
blk_-2834195813213005328,[4],0
blk_-28342503914935090,[15],0
blk_-2843780069100181052,[0],0
blk_-2852294661215451806,[0],0
blk_-2856928563366064757,[13],0
blk_-2890295200276774269,[10],0
blk_-2895171018912807248,[0],0
blk_-2896670847306153652,[12],0
blk_-2901225370888235702,[16],0
blk_-2901266958756042716,[15],0
blk_-2907776069874917892,[4],0
blk_-290874442865281380,[13],0
blk_-2916658835497879256,[0],0
blk_-2918118818249673980,[11],0
blk_-2923662094689783995,[10],0
blk_-2929627680703662712,[10],0
blk_-2934265883100282310,[13],0
blk_-2935178173527646581,[13],0
blk_-295306975763175640,[15],0
blk_-29548654251973735,[0],0
blk_-2959268996938658555,[0],0
blk_-2975629975082443857,[16],0
blk_-2989288139685694818,[15],0
blk_-3010126661650043258,[2],0
blk_-3023983271692989109,[13],0
blk_-3025440686907267472,[12],0
blk_-3055230140330616860,[1],0
blk_-305633040016166849,[11],0
blk_-3056652732896088330,[11],0
blk_-309134958179110212,[16],0
blk_-3091906986951252347,[2],0
blk_-3134225108208373949,[16],0
blk_-3140031507252212554,[11],0
blk_-3140754468249228022,[11],0
blk_-3152434225121092058,[1],0
blk_-3157541550945505354,[15],0
blk_-3170270010972115378,[0],0
blk_-3172594752427649592,[15],0
blk_-3183355402229300197,[12],0
blk_-3184700311670257792,[0],0
blk_-3187293586306086277,[15],0
blk_-3225035678192156905,[4],0
blk_-3228470001178394592,[12],0
blk_-323838382557775734,[4],0
blk_-3242342105286997235,[4],0
blk_-3249711809227781266,[0],0
blk_-3253005280055520211,[0],0
blk_-3261177124784025140,[15],0
blk_-3265479347842446682,[15],1
blk_-3275237990609680332,[0],0
blk_-3275788837420923000,[4],0
blk_-3276232266876914214,[13],0
blk_-3283153974358895314,[13],0
blk_-328970571549408286,[4],0
blk_-3295982945091621137,[12],0
blk_-3300851862683571086,[13],0
blk_-3316519570098743145,[4],0
blk_-3329473910909732817,[0],0
blk_-3339018122410311668,[12],0
blk_-3358448553918665902,[16],0
blk_-3362838757940877177,[4],0
blk_-3363550789841756902,[12],0
blk_-337665304078248571,[15],0
blk_-337972286882621518,[13],0
blk_-3384560576963801177,[16],0
blk_-3396836569886642130,[10],0
blk_-3402248757106237109,[12],0
blk_-3417101330634563680,[15],0
blk_-3436382429367583573,[13],0
blk_-3437475890798229344,[10],0
blk_-3452734573703603740,[12],0
blk_-3455521536483250153,[13],0
blk_-3457731723401426942,[16],0
blk_-3482997549732691785,[13],0
blk_-3486808304671603275,[15],0
blk_-3491385689517593364,[13],0
blk_-3509323198988774369,[15],0
blk_-3510473878877779134,[0],0
blk_-352190670750948803,[12],0
blk_-3522956055443924791,[1],0
blk_-3564493590065542578,[10],0
blk_-3572295706132449090,[11],0
blk_-3573208405519699182,[0],0
blk_-3575568207121859434,[0],0
blk_-3575718350717794894,[9],0
blk_-357695136519539363,[12],0
blk_-3582070652284403613,[4],0
blk_-3594701313167635091,[10],0
blk_-3607708283707030582,[10],0
blk_-3607860197409267245,[13],0
blk_-3612946656596896413,[15],0
blk_-3620767662957963389,[13],0
blk_-3622135859810774312,[0],0
blk_-3636681193077858741,[10],0
blk_-3657665801189425193,[16],0
blk_-3657751236932275338,[15],0
blk_-3663004104512304532,[0],0
blk_-3671953658029337449,[4],0
blk_-3673133694834392576,[15],0
blk_-3677956642639780952,[13],0
blk_-3681974396824196300,[4],1
blk_-3684613761619321001,[0],0
blk_-3693786175267111588,[13],0
blk_-3696162841836791939,[16],0
blk_-3702595599317472079,[13],0
blk_-3710747952520609225,[12],0
blk_-3724350946705225881,[0],0
blk_-3734839878416656496,[13],1
blk_-3738901473077208093,[15],0
blk_-3741526967786688540,[13],0
blk_-3752135158991310104,[15],0
blk_-3754029959138975487,[4],1
blk_-3787594914477940893,[13],0
blk_-3792836284792472725,[4],0
blk_-3802183646922512795,[12],0
blk_-3805070405372551730,[13],0
blk_-3816036740130815667,[13],0
blk_-3845286823494684378,[13],0
blk_-3854777877236596649,[4],0
blk_-3860035787700398391,[10],0
blk_-3860894070657427592,[16],0
blk_-3884471885525630813,[15],0
blk_-3888538223380979891,[0],0
blk_-3894803026385053344,[4],0
blk_-3897674589140998025,[0],0
blk_-3909548841543565741,[13],0
blk_-3922743468150895472,[13],0
blk_-3949633496933134307,[0],0
blk_-3955287039966096707,[0],0
blk_-3967261531426400230,[12],0
blk_-3981735565440284420,[13],0
blk_-3990317238913332296,[0],0
blk_-4034227974316905164,[13],1
blk_-4052810234606327693,[0],0
blk_-4067446915270471579,[13],0
blk_-4068751061953213467,[12],0
blk_-4071286774767564790,[13],0
blk_-4092973201423074374,[0],0
blk_-409558225151784282,[0],0
blk_-4110699195744660699,[10],0
blk_-4110733372292809607,[0],0
blk_-4117999745005013424,[18],0
blk_-4139299269696044017,[2],0
blk_-4149539113118855204,[4],0
blk_-4165176068096983220,[10],0
blk_-4165562468976768862,[12],0
blk_-4174618838156947380,[0],0
blk_-4181768899028058192,[11],0
blk_-41928108292416895,[12],0
blk_-4196449318426994195,[12],0
blk_-420564586555502239,[13],0
blk_-420818767915591010,[0],0
blk_-4208396523159735354,[0],0
blk_-4223625526513535681,[10],0
blk_-4229375751333894621,[12],0
blk_-424018194735922479,[4],0
blk_-4265150363959543078,[4],0
blk_-4269939382058952254,[4],0
blk_-4289592006812254261,[12],0
blk_-4295805058711840933,[10],0
blk_-4298255715894292387,[10],0
blk_-4301178988618507084,[10],0
blk_-4304240611296196935,[10],0
blk_-4311652947826112510,[10],0
blk_-4312777901444596370,[1],0
blk_-4325209272072286951,[12],0
blk_-4330512786228504138,[13],0
blk_-4334868513923498900,[15],0
blk_-4342304152206614489,[0],0
blk_-4347054230277727863,[0],0
blk_-4352313989800650828,[10],0
blk_-4358842839092719327,[13],0
blk_-4365612131648152536,[15],0
blk_-4368236874477798428,[10],0
blk_-4380385204018751771,[10],0
blk_-4385347171136037814,[4],0
blk_-4390972361898978900,[1],0
blk_-4405302133414008227,[0],0
blk_-4411589101766563890,"[12, 14]",1
blk_-4424971182856566289,[12],0
blk_-4427507243535536615,[0],0
blk_-4430291708660291878,[12],0
blk_-4433556521525567493,[13],0
blk_-4434479572312007079,[15],0
blk_-4438918035940270891,[4],0
blk_-4455205822455130625,[0],0
blk_-4468166796563085237,[15],0
blk_-4468645577339843974,[1],0
blk_-4473020641607592551,[15],0
blk_-4473277914543734578,[15],0
blk_-4510259260131940043,[0],0
blk_-4526931594457272384,[15],0
blk_-4551689611865410817,[9],0
blk_-4566099704755845087,[12],0
blk_-4578850505370039622,[12],0
blk_-4582442491366282435,[12],0
blk_-4590972095204776122,[11],0
blk_-4595094649363595358,[0],0
blk_-4598246018559857954,[10],0
blk_-4619809198345103330,[0],0
blk_-4624597753370705281,[12],0
blk_-4633546693082073737,[12],0
blk_-463998587096565542,[3],0
blk_-4651707530079874243,[0],0
blk_-4654885003331291932,[1],0
blk_-4655280636272058732,[15],0
blk_-4657423175636611807,[4],0
blk_-4657886075935807358,[15],0
blk_-4673509946769671609,[15],0
blk_-4681205519208992498,[4],0
blk_-4684475480143348818,[12],0
blk_-468830939205980722,[10],0
blk_-4702684774678057084,[4],0
blk_-4737948505610037427,[11],0
blk_-4741127506068309449,[0],0
blk_-476906696485288376,[0],0
blk_-4775386099844009890,[13],0
blk_-4779205255695723216,[12],0
blk_-4794867979917102672,[0],0
blk_-4799092443170733505,[12],0
blk_-4801855948459616884,[1],0
blk_-4831379247767940447,[15],0
blk_-4841792440390267307,[11],0
blk_-4844505495441326897,[10],0
blk_-4846710336436578833,[13],0
blk_-4853183643928986291,[12],0
blk_-4854562124894030819,[15],0
blk_-4861262918414696307,[15],0
blk_-4875138366845786590,[0],0
blk_-488298625688742454,[2],0
blk_-490230821467544285,[4],0
blk_-4917866339076366459,[12],0
blk_-4935573595350235765,[13],0
blk_-4937215748597091532,[12],0
blk_-4941547144875557718,[10],0
blk_-4945182943709543868,[0],0
blk_-4954795063440871977,[4],0
blk_-4956232013010963754,[15],0
blk_-4967783186426171722,[15],0
blk_-4970213618915792510,[0],0
blk_-4980916519894289629,[18],0
blk_-4984504651603069357,[18],0
blk_-5003122231679852524,[15],0
blk_-500534246236005335,[1],0
blk_-5005618994659797504,[4],0
blk_-5009020203888190378,[15],0
blk_-5009274684359267777,[0],0
blk_-5012639079435860269,[0],0
blk_-5014786445735476734,[10],0
blk_-5029807829679779067,[15],0
blk_-5045144756510626150,[13],0
blk_-5057534532247887258,[15],0
blk_-5073870177832699716,[12],0
blk_-5078186985701364847,[15],0
blk_-5086369325828333421,[16],0
blk_-5102453487463005287,[12],0
blk_-5124326558394984439,[13],0
blk_-5135777574223073423,[15],0
blk_-5140072410813878235,[5],1
blk_-5144503768267321004,[15],0
blk_-5144548163293169177,[12],0
blk_-5145508449157510071,[15],0
blk_-5145886774827574591,[4],0
blk_-5159573936338473350,[0],0
blk_-518701095493827363,[13],0
blk_-5195432543794777448,[13],0
blk_-5205950257901523262,[10],0
blk_-5214060566378896158,[0],0
blk_-5215520749152394224,[12],0
blk_-5217146995455608468,[15],0
blk_-5224756755359850354,[15],0
blk_-522892190802801712,[15],0
blk_-5236578579938215340,[13],0
blk_-5236655516146555545,[16],0
blk_-524128780228307052,[0],0
blk_-5255262711039499896,[1],0
blk_-5263787695149681326,[12],0
blk_-5293091556505218722,[4],0
blk_-5306443381473737599,[13],0
blk_-5309211894896608429,[13],0
blk_-531469051872229488,[4],0
blk_-5319073033164653435,[1],0
blk_-5321676321043683563,[12],0
blk_-5330522460969948971,[0],0
blk_-5340841684362207777,[13],0
blk_-5340885607150360719,[11],0
blk_-5341992729755584578,[16],0
blk_-5343533992609553091,[1],0
blk_-5344266425789048231,[10],0
blk_-5352085087037370841,[0],0
blk_-5362598472846558076,[4],0
blk_-5363213609331400263,[0],0
blk_-5368528328022648701,[4],0
blk_-5382946262718129284,[4],0
blk_-5385105076403314787,[13],0
blk_-5400783031085008882,[0],0
blk_-5403209762224435166,[4],0
blk_-5404881839098659470,[0],0
blk_-5421365489363678155,[13],0
blk_-54240672253074715,[12],0
blk_-5427918313707752877,[0],0
blk_-5429042599096020592,[10],0
blk_-5429479049793046826,[10],0
blk_-5439682406172672049,[15],0
blk_-5442040196315589272,[12],0
blk_-5450224419450631495,[13],0
blk_-5455316994110506037,[0],0
blk_-5471660287004025096,[0],0
blk_-5504500392858491441,[12],0
blk_-5511630179413516751,[0],0
blk_-5513640508500780385,[4],1
blk_-5534560875087182998,[13],0
blk_-5542336029922582303,[0],0
blk_-5569558931000121451,[12],0
blk_-5580048401594934039,[0],0
blk_-5580322334454533924,[12],0
blk_-5581540863377925517,[1],0
blk_-5586529360624346565,[13],0
blk_-5587827566367944828,[12],0
blk_-5598693099021996971,[10],0
blk_-5603192027616633151,[10],0
blk_-5610308397633191834,[12],0
blk_-5613694521084380933,[1],0
blk_-5623176793330377570,[15],0
blk_-5624558200776510955,[4],0
blk_-562725280853087685,[13],0
blk_-5633587983998853189,[13],0
blk_-5644397018622018109,[13],0
blk_-5646228903161999640,[15],0
blk_-566178736644429906,[4],0
blk_-5668584889663038916,[13],0
blk_-5671206752084326639,[13],0
blk_-5680441982827916621,[12],0
blk_-5704899712662113150,[13],0
blk_-5718504625725408070,[9],0
blk_-5718873743060788176,[0],0
blk_-5719934513583495857,[16],0
blk_-5722491454804415982,[12],0
blk_-5739126205963920408,[0],0
blk_-5773244829531118765,[0],0
blk_-577659324269246113,[13],0
blk_-5777981614298940026,[13],0
blk_-5785220384376578831,[13],0
blk_-5799866343936729403,[12],0
blk_-5802915611610989626,[4],0
blk_-5808893254440551816,[15],0
blk_-5814328448485070742,[13],0
blk_-5815145248455404269,[13],0
blk_-5817942497672492100,[15],0
blk_-5828360070550196756,[12],0
blk_-5836693155656083066,[15],0
blk_-5852844080027817147,[12],0
blk_-5861348317118763621,[0],0
blk_-5861636720645142679,[13],0
blk_-5880591395067598620,[10],0
blk_-5882295985950637419,[0],0
blk_-5892603381347650390,[15],0
blk_-5908283405801966540,[12],0
blk_-591552904934794824,[2],0
blk_-5919767990596301121,[16],0
blk_-5927343391895571936,[0],0
blk_-5934436507161953485,[10],0
blk_-5935642747315643391,[11],0
blk_-5949883083428548093,[0],0
blk_-5954527587435406374,[13],0
blk_-5957060034695163774,[15],0
blk_-5960135894031733009,[13],0
blk_-5961895238114806886,[0],0
blk_-5963475042722370536,[0],0
blk_-5970165518655489569,[13],0
blk_-5972745462629982078,[4],0
blk_-5974833545991408899,[13],0
blk_-6008397446568765070,[9],0
blk_-6031720401337601269,[13],0
blk_-6035642070260562886,[12],0
blk_-6050976999174805557,[16],0
blk_-6053005391233809507,[10],0
blk_-6056336045486998577,[4],0
blk_-6068451475575444798,[4],0
blk_-6068587951382721748,[0],0
blk_-6075803209168884005,[10],0
blk_-608202790716579401,[4],0
blk_-6114220623980201749,[4],0
blk_-6117917602803602155,[4],0
blk_-6127741703501838658,[10],0
blk_-6131345369657245178,[9],0
blk_-6135061626100136978,[15],0
blk_-6136511938931864993,[4],0
blk_-615578808743808725,[12],0
blk_-6160667975382232149,[18],0
blk_-6168484338203583997,[13],0
blk_-6177194341369822651,[10],0
blk_-6213380972217661202,[15],0
blk_-6220821375880228145,[12],0
blk_-6224982681533811277,[0],0
blk_-6247364168500873179,[0],0
blk_-6250368566161066085,[15],0
blk_-6255015379143356507,[4],0
blk_-6261136177206340449,[4],0
blk_-626413149556394155,[10],0
blk_-6276023454199613372,[15],0
blk_-6289001686128460561,[4],0
blk_-62891505109755100,[11],1
blk_-6290631608800952376,[11],0
blk_-6292499669518281202,[10],0
blk_-6299730951392868297,[0],0
blk_-6308508598639278892,[0],0
blk_-6314365697827006048,[0],0
blk_-6325232815283133921,[0],0
blk_-6329494504520216748,[15],0
blk_-6330812010936261924,[0],0
blk_-633826175832239328,[12],0
blk_-6338549285508312302,[0],0
blk_-6350492516478706425,[10],0
blk_-6369730481066968769,[12],0
blk_-6380328072112550668,[15],0
blk_-6390296685077811803,[0],0
blk_-6400421658804613208,[10],0
blk_-6412155847905320411,[15],0
blk_-6431101765137189231,[10],0
blk_-643763844763678010,[10],0
blk_-6441360440068187612,[13],0
blk_-6442394521537090621,[0],1
blk_-6449891932967810179,[0],0
blk_-6454539193224916125,[12],0
blk_-6464763289185102366,[0],0
blk_-6464892000340112134,[13],0
blk_-6477590833521072407,[4],0
blk_-6486714614940767660,[15],1
blk_-6500549130351529113,[12],0
blk_-6502143621885580798,[13],0
blk_-6520030462660619051,[16],0
blk_-6525012344542022819,[12],0
blk_-653434419514937486,[12],0
blk_-6540455811923725840,[0],0
blk_-6543889749770222531,[15],0
blk_-6555060221133060529,[0],0
blk_-657087263710195616,[16],0
blk_-6582383997201802925,[0],0
blk_-6592952246351162022,[0],0
blk_-6608350831463251448,[15],0
blk_-6618090096819679591,[15],0
blk_-6620182933895093708,[3],0
blk_-663653551898848389,[15],0
blk_-6640779266188771131,[4],0
blk_-664656559337730574,[16],0
blk_-6670958622368987959,[12],0
blk_-667933171485085225,[11],0
blk_-6695620358347030339,[12],0
blk_-6719337521981113643,[13],0
blk_-6750694665033046901,[10],0
blk_-6754647973871368247,[2],0
blk_-6766351519628312408,[12],0
blk_-6773301007994789531,[12],0
blk_-6783506473540833076,[4],0
blk_-6802124772693111025,[4],0
blk_-6802153775367591521,[1],0
blk_-6809181994368905854,[15],0
blk_-6811519872198278365,[13],0
blk_-6811828069408410657,[12],0
blk_-6832799704680039005,[13],0
blk_-6836642008179678048,[0],0
blk_-6837050820114491742,[12],0
blk_-6841570414687342011,[1],0
blk_-684595390732854503,[13],0
blk_-6865167803683277211,[12],0
blk_-6867873931012347356,[13],0
blk_-6883339133893273874,[12],0
blk_-6884056342993438262,[15],0
blk_-6891122177443047531,[10],0
blk_-6900989714336081087,[11],0
blk_-6901909114834172466,[10],0
blk_-6909400912794057067,[0],0
blk_-6909607053783233975,[1],0
blk_-6921441628286995043,[4],0
blk_-6927870228542972281,[15],0
blk_-6932221506331060207,[4],0
blk_-6934248664959947757,[12],0
blk_-6942784423611603919,[10],0
blk_-6945615463687647586,[0],0
blk_-6952295868487656571,[12],0
blk_-6956067134432991406,[0],0
blk_-6966935672736779591,[13],0
blk_-6978845808078082463,[4],0
blk_-6979800421545566530,[13],0
blk_-6986311820863339652,[13],0
blk_-6991853982611346454,[12],0
blk_-6995454028444097802,[0],0
blk_-6997219177553478996,[12],0
blk_-7007208336332784130,[13],0
blk_-7017553867379051457,[0],0
blk_-7024895786822269814,[12],0
blk_-7029628814943626474,"[13, 11]",0
blk_-7030770677241078854,[0],0
blk_-703436021914343546,[12],0
blk_-7048088870427586736,[15],0
blk_-7056746602297676104,[13],0
blk_-7096508472270520039,[10],0
blk_-7105305952901940477,[3],1
blk_-7106479503467535906,[10],0
blk_-7111788899695387329,[4],0
blk_-7115635482536854135,[0],0
blk_-7125370327234065733,[11],0
blk_-71429470616906355,[13],0
blk_-7152190882826520998,[13],0
blk_-7159695919045792245,[12],0
blk_-7170175035335391571,[12],0
blk_-7172347691639518373,[15],0
blk_-719178972315562824,[0],0
blk_-719470845056640928,[4],0
blk_-719498947487451844,[15],0
blk_-7200400342436668240,[12],0
blk_-7202857144668308473,[13],0
blk_-7207514537719465756,[13],0
blk_-7227576651324043655,[15],0
blk_-7228803354694123939,[15],0
blk_-7230947007726948080,[15],0
blk_-7238035741206373733,[15],0
blk_-7247291679155656679,[13],0
blk_-7256345477493725857,[12],0
blk_-7266711648018793699,[15],0
blk_-7269672042149855641,[12],0
blk_-7282356322111075290,[0],0
blk_-7285565997486715015,[4],0
blk_-7293871043749246063,[15],0
blk_-730776401372551814,[12],0
blk_-7319442762668598889,[12],0
blk_-7350482598011027441,[15],0
blk_-7353572928777348242,[10],0
blk_-7355153279766988632,[15],0
blk_-736188013503336717,[12],0
blk_-7364557883931785608,[16],0
blk_-7367386750462511488,[1],0
blk_-7369651436133452001,[4],0
blk_-7372087176866857012,[11],0
blk_-7380871572601322244,[13],0
blk_-7389979618829759505,[15],0
blk_-7391656937286046074,[11],0
blk_-7411687001739959508,[15],0
blk_-7411858598798393933,[10],0
blk_-7413910507260978729,[2],0
blk_-7418372263556457716,[15],0
blk_-7418499425236853516,[4],0
blk_-7423574498760490375,[10],0
blk_-743349875664670637,[16],0
blk_-7436749154361133879,[12],0
blk_-7446091384471755694,[10],0
blk_-7458279618877678162,[1],0
blk_-7460532841070848624,[15],0
blk_-7464161062429228045,[10],0
blk_-747046374856916711,[0],0
blk_-7483426835701512490,[12],0
blk_-7486746679002157277,[15],0
blk_-749176535135404637,[1],0
blk_-7492294065771709299,[15],0
blk_-7512746652453970810,[12],0
blk_-7513928662244669476,[10],0
blk_-7514806214244798312,[13],0
blk_-7515058933811567980,[10],0
blk_-7522572236891389139,[0],0
blk_-7526023914950151999,[15],0
blk_-7526945448667194862,[13],0
blk_-7527506469734664572,[1],0
blk_-7539658633533020967,[15],0
blk_-7548149518969960333,[10],0
blk_-7553009628768897700,[12],0
blk_-7555801584297376435,[0],0
blk_-7571492020523929240,[8],1
blk_-7584542530081657301,[4],0
blk_-7587189852169913514,[12],0
blk_-75893538967225087,[4],0
blk_-7592643790414500555,[1],0
blk_-7595375726951801956,[4],0
blk_-7601381921195183756,[10],0
blk_-7603740654202748654,[0],0
blk_-7603795308074215276,[3],0
blk_-7606467001548719462,[10],1
blk_-7623732795385061487,[15],0
blk_-762982068597249045,[0],0
blk_-7630699912570186723,[13],0
blk_-7637577152926063076,[0],0
blk_-7640601843607665080,[12],0
blk_-7646004878694144580,[15],0
blk_-764747190320632607,[15],0
blk_-7656610147924319419,[12],0
blk_-765820154946060546,[4],0
blk_-7658293778087733436,[11],0
blk_-7667417209393167541,[3],0
blk_-7668075074035173978,[4],0
blk_-7678242108759603056,[15],0
blk_-7680599654910200999,[11],0
blk_-7683667795522321323,[12],0
blk_-7693277678281547790,[4],0
blk_-7709713535298137702,[4],0
blk_-7716943410942322104,[13],0
blk_-7724713468912166542,[16],0
blk_-7727864185516010230,[15],0
blk_-774267833966018354,[15],0
blk_-7764040409370932316,[15],0
blk_-7767902948513849386,[4],0
blk_-7778922135767840250,[12],0
blk_-7794786562417612249,[0],0
blk_-7803343374223161433,[18],0
blk_-7815259387557421424,[15],0
blk_-7820996703068538967,[15],0
blk_-7832937837605180330,[10],0
blk_-7837339190764609698,[16],0
blk_-7846283874350947646,[4],0
blk_-7854501109698465657,[10],0
blk_-7866582011201618766,[2],0
blk_-7873581794069372986,[4],0
blk_-7878121102358435702,[1],0
blk_-7893636450787030202,[0],0
blk_-7894824934989391122,[4],0
blk_-7909610753867924116,[0],0
blk_-7911408976820434495,[15],0
blk_-7914996925059840931,[15],0
blk_-7928230000822317050,[10],0
blk_-793506372912437289,[4],0
blk_-7937864120968665564,[12],0
blk_-7948158002985968470,[12],0
blk_-795209964982424254,[4],0
blk_-7983508786213002472,[11],0
